Year,Games,Attendance,Gate Receipts,Players' Total,Winners,Losers
1996,6,324685.0,17618676.39,25477808.09,216870.08,143678.36
1997,7,403617.0,18394008.0,23402770.0,188467.55,113225.98
1998,4,243498.0,28780190.0,39296632.0,312042.41,204143.82
1999,4,216114.0,26899173.16,40798858.0,307808.7,203542.49
2000,5,277853.0,36515849.21,43010412.07,294783.41,238653.8
2001,7,366289.0,46248509.48,31961417.29,279260.41,201014.06
2002,7,306414.0,22982659.3,35357937.39,272147.47,186185.62
2003,6,364932.0,41129574.25,41363446.12,306149.92,180889.71
2004,4,174088.0,25319184.15,42198640.25,223619.79,163378.53
2005,4,168422.0,24473139.36,40788565.62,324532.72,191985.45
2006,5,224633.0,20016735.81,55602043.93,362173.04,291667.68
2007,4,173127.0,18885380.84,52459391.23,308235.75,233505.18
2008,5,219369.0,18417357.91,51159327.56,351504.48,223390.05
2009,6,289087.0,21266321.79,59073116.07,365052.73,265357.5
2010,5,243607.0,19764779.19,54902164.39,317631.29,246279.55
2011,7,342878.0,20627727.92,57299244.23,323169.98,251515.76
2012,4,170251.0,23530848.92,65363469.22,,284274.5
2013,6,257565.0,22566228.05,62683966.8,307322.68,228300.17
2014,7,290985.0,22329526.27,62026461.86,392006.36,230699.73
2015,5,215185.0,25157573.73,69882149.26,370069.03,300757.78
2016,7,278603.0,27586017.75,76627827.09,368871.59,261804.65
2017,7,346702.0,30420155.57,84500432.15,438901.57,259722.14
2018,5,238979.0,31747908.06,88188633.49,416837.72,262027.49
2019,7,305072.0,29110012.47,80861145.74,382358.18,256030.16
2020,6,68622.0,34254706.66,94800000.0,440910.0,259722.0
2021,6,257131.0,32568712.0,90468645.0,397391.0,258373.0
2022,6,265255.0,38700000.0,107500000.0,516347.0,296255.0
2023,,,,,,
